"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"8025402"	"0.00014"	"4.84e-09"	"7.50305304"	"10.27158"	"1.75"	"ANGPTL4"	"angiopoietin like 4"
"8071086"	"0.000192"	"1.33e-08"	"-7.17749645"	"9.36892"	"-4.73e-01"	"CECR2"	"CECR2, histone acetyl-lysine reader"
"8141094"	"0.000296"	"4.55e-08"	"6.78527374"	"8.26656"	"1.94"	"PDK4"	"pyruvate dehydrogenase kinase 4"
"8097867"	"0.000296"	"4.57e-08"	"-6.78351979"	"8.2616"	"-9.54e-01"	"KIAA0922"	"KIAA0922"
"7995783"	"0.000296"	"5.13e-08"	"6.74709848"	"8.1585"	"1.10"	"MT2A"	"metallothionein 2A"
"7995806"	"0.000309"	"6.43e-08"	"6.67575403"	"7.95624"	"1.31"	"MT1A"	"metallothionein 1A"
"8162531"	"0.000338"	"8.19e-08"	"6.59891393"	"7.73794"	"1.06"	""	""
"8040340"	"0.00038"	"1.08e-07"	"6.51157297"	"7.48928"	"6.39e-01"	"LPIN1"	"lipin 1"
"8140556"	"0.00038"	"1.19e-07"	"6.48175321"	"7.40426"	"3.79e-01"	"HGF"	"hepatocyte growth factor"
"8095376"	"0.000493"	"1.71e-07"	"6.36673527"	"7.07579"	"8.73e-01"	"MT2A"	"metallothionein 2A"
"8113220"	"0.000506"	"1.93e-07"	"6.32812886"	"6.96536"	"8.87e-01"	"ELL2"	"elongation factor for RNA polymerase II 2"
"8072678"	"0.000543"	"2.26e-07"	"6.27866553"	"6.82376"	"9.67e-01"	"HMOX1"	"heme oxygenase 1"
"7907702"	"0.000553"	"2.60e-07"	"6.23376877"	"6.69511"	"3.93e-01"	"SOAT1"	"sterol O-acyltransferase 1"
"8001531"	"0.000553"	"2.73e-07"	"6.21897052"	"6.65269"	"7.60e-01"	"MT1G"	"metallothionein 1G"
"8105040"	"0.000553"	"2.87e-07"	"6.2023569"	"6.60505"	"1.29"	"OSMR"	"oncostatin M receptor"
"8130674"	"0.000726"	"4.02e-07"	"6.09640768"	"6.30096"	"6.21e-01"	"PDE10A"	"phosphodiesterase 10A"
"8095362"	"0.000809"	"4.79e-07"	"6.04147856"	"6.14314"	"9.09e-01"	"MT2A"	"metallothionein 2A"
"8085504"	"0.000809"	"5.04e-07"	"-6.02517215"	"6.09626"	"-5.09e-01"	"GRIP2"	"glutamate receptor interacting protein 2"
"8075635"	"0.000861"	"5.67e-07"	"5.98843275"	"5.99063"	"5.70e-01"	"TIMP3"	"TIMP metallopeptidase inhibitor 3"
"7921344"	"0.000875"	"6.06e-07"	"5.96738748"	"5.9301"	"9.76e-01"	"ELL2"	"elongation factor for RNA polymerase II 2"
"7897877"	"0.001004"	"7.30e-07"	"5.9087698"	"5.76146"	"4.79e-01"	"TNFRSF1B"	"TNF receptor superfamily member 1B"
"7957373"	"0.001166"	"8.94e-07"	"5.84497955"	"5.57786"	"6.22e-01"	"MYF6"	"myogenic factor 6"
"8122773"	"0.001166"	"9.66e-07"	"5.82050963"	"5.50741"	"3.21e-01"	"MTHFD1L"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like"
"7995813"	"0.001166"	"9.69e-07"	"5.81961826"	"5.50484"	"5.82e-01"	"MT1DP"	"metallothionein 1D, pseudogene"
"8122756"	"0.001251"	"1.08e-06"	"5.78462909"	"5.4041"	"7.21e-01"	"PLEKHG1///PLEKHG1"	"pleckstrin homology and RhoGEF domain containing G1///pleckstrin homology and RhoGEF domain containing G1"
"8059387"	"0.001396"	"1.26e-06"	"5.73758841"	"5.26864"	"3.30e-01"	"FAM124B"	"family with sequence similarity 124 member B"
"7994345"	"0.001577"	"1.52e-06"	"-5.67751753"	"5.09565"	"-4.59e-01"	"SBK1"	"SH3 domain binding kinase 1"
"8131496"	"0.001577"	"1.60e-06"	"-5.66216814"	"5.05145"	"-4.20e-01"	"GLCCI1"	"glucocorticoid induced 1"
"8164200"	"0.001577"	"1.63e-06"	"5.65640325"	"5.03484"	"6.57e-01"	"ANGPTL2"	"angiopoietin like 2"
"7905789"	"0.001577"	"1.69e-06"	"5.64469328"	"5.00112"	"8.39e-01"	"IL6R"	"interleukin 6 receptor"
"7995834"	"0.001577"	"1.69e-06"	"5.64394224"	"4.99896"	"4.69e-01"	"MT1IP"	"metallothionein 1I, pseudogene"
"8133670"	"0.001593"	"1.77e-06"	"5.63066628"	"4.96073"	"4.29e-01"	"POR"	"cytochrome p450 oxidoreductase"
"7902227"	"0.001614"	"1.85e-06"	"5.61681814"	"4.92086"	"1.03"	"GADD45A"	"growth arrest and DNA damage inducible alpha"
"7907370"	"0.001626"	"1.91e-06"	"-5.60517335"	"4.88733"	"-3.75e-01"	"DNM3"	"dynamin 3"
"7922550"	"0.002088"	"2.53e-06"	"-5.51704629"	"4.63363"	"-4.59e-01"	"SEC16B"	"SEC16 homolog B, endoplasmic reticulum export factor"
"8105506"	"0.002159"	"2.71e-06"	"5.49543058"	"4.57142"	"7.36e-01"	"ZSWIM6"	"zinc finger SWIM-type containing 6"
"8157362"	"0.002159"	"2.77e-06"	"-5.48907289"	"4.55313"	"-3.92e-01"	"ZNF618"	"zinc finger protein 618"
"8041048"	"0.002209"	"2.91e-06"	"5.4734049"	"4.50805"	"9.24e-01"	"FOSL2"	"FOS like 2, AP-1 transcription factor subunit"
"7929609"	"0.002323"	"3.14e-06"	"-5.44934771"	"4.43884"	"-4.01e-01"	"C10orf12"	"chromosome 10 open reading frame 12"
"8150592"	"0.002329"	"3.23e-06"	"5.44044637"	"4.41324"	"8.50e-01"	"CEBPD"	"CCAAT/enhancer binding protein delta"
"8062119"	"0.002504"	"3.56e-06"	"5.40978693"	"4.32507"	"6.25e-01"	"MT1P3"	"metallothionein 1 pseudogene 3"
"8054486"	"0.002884"	"4.26e-06"	"-5.35245448"	"4.16028"	"-4.96e-01"	"NPHP1"	"nephrocystin 1"
"7919133"	"0.002884"	"4.30e-06"	"5.35006957"	"4.15343"	"3.19e-01"	"FCGR1CP///FCGR1B///FCGR1A"	"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
"7995787"	"0.003455"	"5.38e-06"	"5.27913752"	"3.94973"	"7.81e-01"	"MT1M"	"metallothionein 1M"
"8166469"	"0.003455"	"5.39e-06"	"5.27854229"	"3.94802"	"6.52e-01"	"SAT1"	"spermidine/spermine N1-acetyltransferase 1"
"7995820"	"0.003606"	"5.75e-06"	"5.25805013"	"3.88922"	"3.40e-01"	"MT1B"	"metallothionein 1B"
"7899087"	"0.00363"	"5.91e-06"	"-5.24911896"	"3.86359"	"-3.07e-01"	"PDIK1L"	"PDLIM1 interacting kinase 1 like"
"8071107"	"0.00364"	"6.05e-06"	"5.2416046"	"3.84204"	"5.53e-01"	"SLC25A18"	"solute carrier family 25 member 18"
"7995797"	"0.003655"	"6.20e-06"	"5.23378612"	"3.81962"	"7.28e-01"	"MT1E"	"metallothionein 1E"
"7914042"	"0.003853"	"6.67e-06"	"5.21059214"	"3.75311"	"3.60e-01"	"MAP3K6"	"mitogen-activated protein kinase kinase kinase 6"
"8051583"	"0.003861"	"6.82e-06"	"5.20364657"	"3.7332"	"6.05e-01"	"CYP1B1"	"cytochrome P450 family 1 subfamily B member 1"
"8115543"	"0.003934"	"7.09e-06"	"-5.19156898"	"3.69859"	"-4.76e-01"	"EBF1///PDGFRB"	"early B-cell factor 1///platelet derived growth factor receptor beta"
"8047161"	"0.004041"	"7.42e-06"	"5.17705716"	"3.65701"	"7.95e-01"	"NABP1"	"nucleic acid binding protein 1"
"8107920"	"0.004075"	"7.75e-06"	"5.16327173"	"3.61753"	"1.17"	"SLC22A5"	"solute carrier family 22 member 5"
"7956930"	"0.004075"	"7.76e-06"	"-5.1625983"	"3.6156"	"-5.20e-01"	"DYRK2"	"dual specificity tyrosine phosphorylation regulated kinase 2"
"7995829"	"0.004275"	"8.46e-06"	"5.13549687"	"3.53801"	"4.87e-01"	"MT1H"	"metallothionein 1H"
"8070194"	"0.004275"	"8.52e-06"	"5.13302605"	"3.53094"	"8.88e-01"	"RUNX1"	"runt related transcription factor 1"
"7995803"	"0.004275"	"8.59e-06"	"5.13053492"	"3.52381"	"4.92e-01"	"MT1JP"	"metallothionein 1J, pseudogene"
"7973116"	"0.004654"	"9.51e-06"	"-5.09811788"	"3.43108"	"-2.29e-01"	"METTL17"	"methyltransferase like 17"
"8155754"	"0.005001"	"1.04e-05"	"-5.06988621"	"3.35038"	"-4.70e-01"	"MAMDC2"	"MAM domain containing 2"
"8073007"	"0.005279"	"1.13e-05"	"5.04437857"	"3.27752"	"1.12"	"MAFF"	"MAF bZIP transcription factor F"
"7982597"	"0.005279"	"1.13e-05"	"5.04225586"	"3.27146"	"1.90"	"THBS1"	"thrombospondin 1"
"8130556"	"0.005423"	"1.18e-05"	"5.02857399"	"3.2324"	"4.14e-01"	"SOD2"	"superoxide dismutase 2, mitochondrial"
"8009353"	"0.005616"	"1.25e-05"	"5.01241618"	"3.18629"	"8.19e-01"	"PITPNC1"	"phosphatidylinositol transfer protein, cytoplasmic 1"
"8030403"	"0.005835"	"1.31e-05"	"-4.995306"	"3.13749"	"-2.74e-01"	"PRR12"	"proline rich 12"
"7971177"	"0.005886"	"1.35e-05"	"4.98764449"	"3.11564"	"5.48e-01"	"FOXO1"	"forkhead box O1"
"8068593"	"0.006219"	"1.44e-05"	"4.9653277"	"3.05204"	"8.50e-01"	"ETS2"	"ETS proto-oncogene 2, transcription factor"
"8052413"	"0.006385"	"1.50e-05"	"4.95217858"	"3.01459"	"3.60e-01"	""	""
"7937039"	"0.006674"	"1.60e-05"	"-4.93340961"	"2.96115"	"-4.23e-01"	"EBF3"	"early B-cell factor 3"
"7929596"	"0.006755"	"1.64e-05"	"-4.92493123"	"2.93703"	"-4.55e-01"	"LCOR"	"ligand dependent nuclear receptor corepressor"
"7914075"	"0.006795"	"1.67e-05"	"4.91849974"	"2.91873"	"6.50e-01"	"FCN3"	"ficolin 3"
"7914516"	"0.00709"	"1.77e-05"	"-4.90047728"	"2.86748"	"-2.67e-01"	"MTMR9LP"	"myotubularin related protein 9-like, pseudogene"
"8061013"	"0.007297"	"1.85e-05"	"-4.88684171"	"2.82872"	"-2.48e-01"	"ISM1"	"isthmin 1, angiogenesis inhibitor"
"8050813"	"0.007442"	"1.91e-05"	"-4.87621299"	"2.79852"	"-2.59e-01"	"DNMT3A"	"DNA methyltransferase 3 alpha"
"7958960"	"0.007547"	"1.96e-05"	"-4.86740118"	"2.7735"	"-4.25e-01"	"TPCN1"	"two pore segment channel 1"
"8123936"	"0.007571"	"2.00e-05"	"-4.86108743"	"2.75557"	"-4.71e-01"	"NEDD9"	"neural precursor cell expressed, developmentally down-regulated 9"
"7943998"	"0.007571"	"2.02e-05"	"4.85797844"	"2.74675"	"1.14"	"NNMT"	"nicotinamide N-methyltransferase"
"8109159"	"0.007659"	"2.09e-05"	"-4.84706035"	"2.71576"	"-6.03e-01"	"CARMN///MIR145"	"cardiac mesoderm enhancer-associated non-coding RNA///microRNA 145"
"7968351"	"0.007659"	"2.10e-05"	"4.84505483"	"2.71007"	"6.26e-01"	"MEDAG"	"mesenteric estrogen dependent adipogenesis"
"8026047"	"0.007659"	"2.12e-05"	"4.842032"	"2.70149"	"1.30"	"JUNB"	"JunB proto-oncogene, AP-1 transcription factor subunit"
"8020179"	"0.007867"	"2.21e-05"	"4.82948088"	"2.66589"	"9.77e-01"	"CHMP1B"	"charged multivesicular body protein 1B"
"7925413"	"0.008432"	"2.39e-05"	"4.8033076"	"2.59171"	"4.35e-01"	"MT1HL1"	"metallothionein 1H-like 1"
"8102050"	"0.009069"	"2.61e-05"	"4.77603443"	"2.5145"	"5.95e-01"	"SLC9B2"	"solute carrier family 9 member B2"
"8148325"	"0.009354"	"2.72e-05"	"4.76224202"	"2.47548"	"7.67e-01"	""	""
"8070665"	"0.009464"	"2.79e-05"	"4.75469176"	"2.45413"	"8.75e-01"	"LOC102724428///SIK1"	"serine/threonine-protein kinase SIK1///salt inducible kinase 1"
"7943760"	"0.009696"	"2.89e-05"	"4.74311337"	"2.42141"	"8.31e-01"	"SIK2"	"salt inducible kinase 2"
"7961891"	"0.009815"	"2.96e-05"	"-4.73550035"	"2.3999"	"-5.05e-01"	"BHLHE41"	"basic helix-loop-helix family member e41"
"8085556"	"0.009912"	"3.02e-05"	"4.72861647"	"2.38046"	"4.19e-01"	"SH3BP5"	"SH3 domain binding protein 5"
"8066051"	"0.009912"	"3.06e-05"	"-4.72500295"	"2.37025"	"-3.65e-01"	"NDRG3"	"NDRG family member 3"
"7928671"	"0.00997"	"3.11e-05"	"-4.71953956"	"2.35483"	"-3.69e-01"	"TMEM254"	"transmembrane protein 254"
"8122843"	"0.010142"	"3.20e-05"	"-4.71048375"	"2.32927"	"-4.16e-01"	"ESR1"	"estrogen receptor 1"
"8153002"	"0.010146"	"3.26e-05"	"4.70393061"	"2.31078"	"4.09e-01"	"NDRG1"	"N-myc downstream regulated 1"
"7924450"	"0.010146"	"3.32e-05"	"-4.69860435"	"2.29576"	"-8.38e-01"	"DUSP10"	"dual specificity phosphatase 10"
"7905060"	"0.010146"	"3.33e-05"	"4.6974688"	"2.29256"	"2.73e-01"	"FCGR1CP///FCGR1B///FCGR1A"	"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
"7922414"	"0.010146"	"3.34e-05"	"4.69648437"	"2.28978"	"4.78e-01"	"SNORD76///GAS5"	"small nucleolar RNA, C/D box 76///growth arrest specific 5 (non-protein coding)"
"8020347"	"0.010647"	"3.54e-05"	"-4.67758548"	"2.23651"	"-5.10e-01"	""	""
"8064868"	"0.010781"	"3.62e-05"	"4.67020922"	"2.21573"	"5.65e-01"	"GPCPD1"	"glycerophosphocholine phosphodiesterase 1"
"7905047"	"0.011242"	"3.85e-05"	"4.65026902"	"2.15959"	"4.30e-01"	"FCGR1CP///FCGR1B///FCGR1A"	"Fc fragment of IgG receptor Ic, pseudogene///Fc fragment of IgG receptor Ib///Fc fragment of IgG receptor Ia"
"8007312"	"0.011242"	"3.86e-05"	"-4.65011056"	"2.15915"	"-2.96e-01"	"TUBG2"	"tubulin gamma 2"
"8136388"	"0.011559"	"4.00e-05"	"4.63788753"	"2.12477"	"9.37e-01"	"TMEM140"	"transmembrane protein 140"
"7983145"	"0.011886"	"4.16e-05"	"-4.62565875"	"2.09039"	"-3.79e-01"	"STARD9"	"StAR related lipid transfer domain containing 9"
